[WIN] 2025-12-18 16:42:48 | CPU: 4.24% | Temp: 80°C | GPU: 7.00% | Mem: 67.50% | Disk: 95.66%
[WIN] 2025-12-18 16:42:53 | CPU: 0.61% | Temp: 71°C | GPU: 0.30% | Mem: 65.09% | Disk: 95.66%
[WIN] 2025-12-18 16:42:57 | CPU: 3.03% | Temp: 64°C | GPU: 71.60% | Mem: 64.91% | Disk: 95.66%
[WIN] 2025-12-18 16:43:01 | CPU: 0.00% | Temp: 64°C | GPU: 70.40% | Mem: 65.02% | Disk: 95.66%
[WIN] 2025-12-18 16:43:06 | CPU: 0.60% | Temp: 64°C | GPU: 71.40% | Mem: 65.14% | Disk: 95.66%
[WIN] 2025-12-18 16:43:10 | CPU: 0.61% | Temp: 63°C | GPU: 72.40% | Mem: 65.18% | Disk: 95.66%
[WIN] 2025-12-18 16:43:14 | CPU: 0.00% | Temp: 61°C | GPU: 0.00% | Mem: 63.53% | Disk: 95.66%
[WIN] 2025-12-18 16:43:52 | CPU: 1.18% | Temp: N/A | GPU: 0.00% | Mem: 63.84% | Disk: 95.66%
[WIN] 2025-12-18 16:43:57 | CPU: 1.76% | Temp: N/A | GPU: 0.00% | Mem: 63.76% | Disk: 95.66%
[WIN] 2025-12-18 16:44:01 | CPU: 1.18% | Temp: N/A | GPU: 0.00% | Mem: 63.61% | Disk: 95.66%
[WIN] 2025-12-18 16:44:06 | CPU: 3.59% | Temp: N/A | GPU: 0.00% | Mem: 63.74% | Disk: 95.66%
[WIN] 2025-12-18 16:44:10 | CPU: 2.34% | Temp: N/A | GPU: 0.00% | Mem: 63.86% | Disk: 95.66%
[WIN] 2025-12-18 16:44:15 | CPU: 2.38% | Temp: N/A | GPU: 0.00% | Mem: 63.67% | Disk: 95.66%
[WIN] 2025-12-18 16:44:19 | CPU: 0.60% | Temp: N/A | GPU: 0.00% | Mem: 64.01% | Disk: 95.66%
[WIN] 2025-12-18 16:44:24 | CPU: 3.53% | Temp: N/A | GPU: 0.00% | Mem: 63.56% | Disk: 95.66%
[WIN] 2025-12-18 16:44:28 | CPU: 2.35% | Temp: N/A | GPU: 0.00% | Mem: 63.78% | Disk: 95.66%
[WIN] 2025-12-18 16:44:33 | CPU: 1.76% | Temp: N/A | GPU: 0.00% | Mem: 63.87% | Disk: 95.66%
[WIN] 2025-12-18 16:44:37 | CPU: 0.59% | Temp: N/A | GPU: 0.00% | Mem: 63.72% | Disk: 95.66%
[WIN] 2025-12-18 16:44:41 | CPU: 1.76% | Temp: N/A | GPU: 0.00% | Mem: 63.84% | Disk: 95.66%
[WIN] 2025-12-18 16:44:46 | CPU: 0.59% | Temp: N/A | GPU: 0.00% | Mem: 63.74% | Disk: 95.66%
[WIN] 2025-12-18 16:44:50 | CPU: 2.37% | Temp: N/A | GPU: 0.00% | Mem: 63.98% | Disk: 95.66%
[WIN] 2025-12-18 16:44:55 | CPU: 0.59% | Temp: N/A | GPU: 0.00% | Mem: 63.71% | Disk: 95.66%
[WIN] 2025-12-18 16:44:59 | CPU: 1.76% | Temp: N/A | GPU: 0.00% | Mem: 64.06% | Disk: 95.66%
[WIN] 2025-12-18 16:45:04 | CPU: 0.59% | Temp: N/A | GPU: 0.00% | Mem: 63.84% | Disk: 95.66%
